DataCenter, EnclosureName, Bay#, SerialNumber, Status
IND, IND01060041C1,  5, ************, [Absent]
IND, IND01060041C1, 11, ************, [Absent]
IND, IND01060041C2,  5, ************, [Absent]
IND, IND01060041C2,  6, ************, [Absent]
IND, IND01060041C2, 11, ************, [Absent]
IND, IND01060042C1,  5, ************, [Absent]
IND, IND01060042C1,  6, ************, [Absent]
IND, IND01060042C1, 10, ************, [Absent]
IND, IND01060042C1, 11, ************, [Absent]
IND, IND01060042C2,  5, ************, [Absent]
IND, IND01060042C2, 10, ************, [Absent]
IND, IND01060042C2, 11, ************, [Absent]
IND, IND01060042C2, 16, ************, [Absent]
IND, IND0049C1,  1, USE342HVHN, OK
IND, IND0049C1,  2, USE342HVHM, OK
IND, IND0049C1,  3, ************, [Absent]
IND, IND0049C1,  4, ************, [Absent]
IND, IND0049C1,  5, USE342HVHT, OK
IND, IND0049C1,  6, USE342HVHL, OK
IND, IND0049C1,  7, USE342HVHK, OK
IND, IND0049C1,  8, USE342HVHJ, OK
IND, IND0049C1,  9, USE342HVHW, OK
IND, IND0049C1, 10, USE342HVHV, OK
IND, IND0049C1, 11, USE342HVHX, OK
IND, IND0049C1, 12, MXQ40201C3, OK
IND, IND0049C1, 13, USE342HVHS, OK
IND, IND0049C1, 14, USE342HVHR, OK
IND, IND0049C1, 15, MXQ40201C5, OK
IND, IND0049C1, 16, USE342HVHP, OK
DEN, DEN1807C1,  1, USE3235SF4, OK
DEN, DEN1807C1,  2, USE3235SF5, OK
DEN, DEN1807C1,  3, USE3235SF6, OK
DEN, DEN1807C1,  4, USE3235SF7, OK
DEN, DEN1807C1,  5, ************, [Absent]
DEN, DEN1807C1,  6, USE3235SF8, OK
DEN, DEN1807C1,  7, USE3235SHC, OK
DEN, DEN1807C1,  8, USE3235SHD, OK
DEN, DEN1807C1,  9, USE3235SH5, OK
DEN, DEN1807C1, 10, USE3235SH6, OK
DEN, DEN1807C1, 11, ************, [Absent]
DEN, DEN1807C1, 12, USE3235SF9, OK
DEN, DEN1807C1, 13, USE3235SFA, OK
DEN, DEN1807C1, 14, USE3235SFB, OK
DEN, DEN1807C1, 15, USE3235SHJ, OK
DEN, DEN1807C1, 16, USE3235SHK, OK
DEN, DEN1807C2,  1, USE3235SFC, OK
DEN, DEN1807C2,  2, USE3235SFD, OK
DEN, DEN1807C2,  3, USE3235SFE, OK
DEN, DEN1807C2,  4, USE3235SFF, OK
DEN, DEN1807C2,  5, ************, [Absent]
DEN, DEN1807C2,  6, ************, [Absent]
DEN, DEN1807C2,  7, MXQ329014V, OK
DEN, DEN1807C2,  8, MXQ329014W, Degraded
DEN, DEN1807C2,  9, USE3235SH7, OK
DEN, DEN1807C2, 10, USE3235SH8, OK
DEN, DEN1807C2, 11, ************, [Absent]
DEN, DEN1807C2, 12, USE3235SFH, OK
DEN, DEN1807C2, 13, USE3235SFJ, OK
DEN, DEN1807C2, 14, USE3235SFK, OK
DEN, DEN1807C2, 15, USE3235SHN, OK
DEN, DEN1807C2, 16, USE3235SHP, OK
DEN, DEN1808C1,  1, USE3235SFL, OK
DEN, DEN1808C1,  2, USE3235SFM, OK
DEN, DEN1808C1,  3, USE3235SFN, OK
DEN, DEN1808C1,  4, USE3235SFP, OK
DEN, DEN1808C1,  5, ************, [Absent]
DEN, DEN1808C1,  6, ************, [Absent]
DEN, DEN1808C1,  7, USE3235SHL, OK
DEN, DEN1808C1,  8, USE3235SHH, OK
DEN, DEN1808C1,  9, USE3235SH9, OK
DEN, DEN1808C1, 10, ************, [Absent]
DEN, DEN1808C1, 11, ************, [Absent]
DEN, DEN1808C1, 12, USE3235SFR, OK
DEN, DEN1808C1, 13, USE3235SFS, OK
DEN, DEN1808C1, 14, USE3235SFT, OK
DEN, DEN1808C1, 15, MXQ329014R, OK
DEN, DEN1808C1, 16, USE3235SHM, OK
DEN, DEN1808C2,  1, USE3235SFW, OK
DEN, DEN1808C2,  2, USE3235SFX, OK
DEN, DEN1808C2,  3, USE3235SFY, OK
DEN, DEN1808C2,  4, USE3235SH0, OK
DEN, DEN1808C2,  5, ************, [Absent]
DEN, DEN1808C2,  6, USE3235SH1, OK
DEN, DEN1808C2,  7, USE3235SHE, OK
DEN, DEN1808C2,  8, USE3235SHF, OK
DEN, DEN1808C2,  9, USE3235SHA, OK
DEN, DEN1808C2, 10, ************, [Absent]
DEN, DEN1808C2, 11, ************, [Absent]
DEN, DEN1808C2, 12, USE3235SH2, OK
DEN, DEN1808C2, 13, USE3235SH3, OK
DEN, DEN1808C2, 14, USE3235SFV, OK
DEN, DEN1808C2, 15, MXQ329014Q, OK
DEN, DEN1808C2, 16, ************, [Absent]
DEN, DEN1507C1,  1, USE342HSW0, OK
DEN, DEN1507C1,  2, USE342HSW1, OK
DEN, DEN1507C1,  3, ************, [Absent]
DEN, DEN1507C1,  4, ************, [Absent]
DEN, DEN1507C1,  5, USE342HSW4, OK
DEN, DEN1507C1,  6, USE342HSVW, OK
DEN, DEN1507C1,  7, USE342HSVX, OK
DEN, DEN1507C1,  8, USE342HSVY, OK
DEN, DEN1507C1,  9, USE342HSW6, OK
DEN, DEN1507C1, 10, USE342HSW8, OK
DEN, DEN1507C1, 11, USE342HSW7, OK
DEN, DEN1507C1, 12, MXQ40201C4, OK
DEN, DEN1507C1, 13, USE342HSW3, OK
DEN, DEN1507C1, 14, USE342HSW5, OK
DEN, DEN1507C1, 15, MXQ40201C2, OK
DEN, DEN1507C1, 16, USE342HSW2, OK
DEN, DEN1110C2,  1, USE316260D, OK
DEN, DEN1110C2,  2, USE316260H, OK
DEN, DEN1110C2,  3, USE316260F, OK
DEN, DEN1110C2,  4, USE316260L, OK
DEN, DEN1110C2,  5, USE316260J, OK
DEN, DEN1110C2,  6, USE316260E, OK
DEN, DEN1110C2,  7, USE316260K, OK
DEN, DEN1110C2,  8, USE316260M, OK
DEN, DEN1110C2,  9, USE316260C, OK
DEN, DEN1110C2, 10, USE316260V, OK
DEN, DEN1110C2, 11, USE316260W, OK
DEN, DEN1110C2, 12, USE316260N, OK
DEN, DEN1110C2, 13, USE316260R, OK
DEN, DEN1110C2, 14, USE316260S, OK
DEN, DEN1110C2, 15, USE316260P, OK
DEN, DEN1110C2, 16, USE316260T, OK
