DataCenter, ServerName, EnclosureName, Bay#, SerialNumber, Status
???, IND01060042C2, IND0042C2MS01,  1, USE32465DB, OK
???, IND01060042C2, IND0042C2MS02,  2, USE32465DC, OK
???, IND01060042C2, IND0042C2MS03,  3, USE32465DD, OK
???, IND01060042C2, IND0042C2MS04,  4, USE32465DE, OK
???, IND01060042C2, *************,  5, **********, [Absent]
???, IND01060042C2, IND0042C2TX06,  6, USE32465DF, OK
???, IND01060042C2, IND0042C2AD07,  7, USE32465CR, OK
???, IND01060042C2, IND0042C2FS08,  8, USE32465CS, OK
???, IND01060042C2, IND0042C2HV09,  9, USE32465CL, OK
???, IND01060042C2, *************, 10, **********, [Absent]
???, IND01060042C2, *************, 11, **********, [Absent]
???, IND01060042C2, IND0042C2SP12, 12, USE32465DH, OK
???, IND01060042C2, IND0042C2IC13, 13, USE32465DJ, OK
???, IND01060042C2, IND0027C2AC12, 14, USE32465DA, OK
???, IND01060042C2, IND0042C2HV15, 15, MXQ329005K, OK
???, IND01060042C2, *************, 16, **********, [Absent]
???, IND0049C1, IND0049C1MS01,  1, USE342HVHN, OK
???, IND0049C1, IND0049C1MS02,  2, USE342HVHM, OK
???, IND0049C1, *************,  3, **********, [Absent]
???, IND0049C1, *************,  4, **********, [Absent]
???, IND0049C1, IND0049C1RD05,  5, USE342HVHT, OK
???, IND0049C1, IND0049C1SE06,  6, USE342HVHL, OK
???, IND0049C1, IND0049C1AD07,  7, USE342HVHK, OK
???, IND0049C1, IND0049C1FS08,  8, USE342HVHJ, OK
???, IND0049C1, IND0049C1HV09,  9, USE342HVHW, OK
???, IND0049C1, IND0049C1HV10, 10, USE342HVHV, OK
???, IND0049C1, IND0049C1HV11, 11, USE342HVHX, OK
???, IND0049C1, IND0049C1IC12, 12, MXQ40201C3, OK
???, IND0049C1, IND0049C1XX13, 13, USE342HVHS, OK
???, IND0049C1, IND0049C1XX14, 14, USE342HVHR, OK
???, IND0049C1, IND0049C1TX15, 15, MXQ40201C5, OK
???, IND0049C1, IND0049C1SQ16, 16, USE342HVHP, OK
???, IND0027C1, IND0027C1MS01,  1, USE410T2RV, OK
???, IND0027C1, IND0027C1MS02,  2, USE410T2RT, OK
???, IND0027C1, IND0027C1MS03,  3, USE410T2RS, OK
???, IND0027C1, IND0027C1MS04,  4, USE410T2RR, OK
???, IND0027C1, IND0027C1MS05,  5, USE410T2RP, OK
???, IND0027C1, IND0027C1MS06,  6, USE410T2RN, OK
???, IND0027C1, IND0027C1MS07,  7, USE410T2RM, OK
???, IND0027C1, IND0027C1XX08,  8, USE410T2RL, OK
???, IND0027C1, IND0027C1SP09,  9, USE410T2S4, OK
???, IND0027C1, IND0027C1IV10, 10, USE410T2S3, OK
???, IND0027C1, IND0027C1IV11, 11, USE410T2S2, OK
???, IND0027C1, IND0027C1AC12, 12, USE410T2S1, OK
???, IND0027C1, IND0027C1IC13, 13, USE410T2S0, OK
???, IND0027C1, IND0027C1DI14, 14, USE410T2RY, OK
???, IND0027C1, IND0027C1XX15, 15, USE410T2RX, OK
???, IND0027C1, IND0027C1XX16, 16, USE410T2RW, OK
